year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,مايو,الدمام,حي/1048/ ش د,1055000,2871.08,1,معتمدة,,
2018,يوليو,الدمام,حي/1093 ش د,2090155,2396.5,8,معتمدة,,
2018,اكتوبر,الدمام,حي/1093 ش د,13613265,15608.5,47,معتمدة,,
2018,مارس,الدمام,حي/1168/ ش د,4000000,6000.0,3,معتمدة,,
2018,يونيو,الدمام,حي/1168/ ش د,10672400,27908.8,6,معتمدة,,
2018,اكتوبر,الدمام,حي/1168/ ش د,600000,8994.5,2,معتمدة,,
2018,يناير,الدمام,حي/2/ 183,10400000,8754.41,1,معتمدة,,
2018,فبراير,الدمام,حي/211/ 1,1000000,600.0,1,معتمدة,,
2018,اكتوبر,الدمام,حي/245/ 1,460000,184.68,1,معتمدة,,
2018,نوفمبر,الدمام,حي/245/ 1,389180,188.91,1,معتمدة,,
2018,ابريل,الدمام,حي/249/ 1,590000,424.5,1,معتمدة,,
2018,اوغسطس,الدمام,حي/249/ 1,890000,424.5,1,معتمدة,,
2018,سبتمبر,الدمام,حي/249/ 1,1300000,500.0,1,معتمدة,,
2018,اكتوبر,الدمام,حي/249/ 1,1020000,424.5,1,معتمدة,,
2018,نوفمبر,الدمام,حي/249/ 1,1100000,414.17,1,معتمدة,,
2018,ديسمبر,الدمام,حي/249/ 1,950000,400.0,1,معتمدة,,
2018,يناير,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,1875000,21013.629999999997,9,معتمدة,,
2018,فبراير,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,1900000,61590.87000000001,6,معتمدة,,
2018,مارس,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,1230000,13931.740000000002,6,معتمدة,,
2018,ابريل,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,2390000,31981.182,15,معتمدة,,
2018,مايو,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,1775000,22620.882,11,معتمدة,,
2018,يونيو,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,805000,16020.0,4,معتمدة,,
2018,يوليو,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,3600000,60680.9,7,معتمدة,,
2018,سبتمبر,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,710000,4649.969999999999,2,معتمدة,,
2018,اكتوبر,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,310000,2321.8,1,معتمدة,,
2018,نوفمبر,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,7000000,50000.9,1,معتمدة,,
2018,يناير,الدمام,حي/337/ 1,159356339,9940.91,15,معتمدة,,
2018,فبراير,الدمام,حي/337/ 1,14582480,6174.25,12,معتمدة,,
2018,مارس,الدمام,حي/337/ 1,18920200,6526.17,16,معتمدة,,
2018,ابريل,الدمام,حي/337/ 1,56416530,18489.85,12,معتمدة,,
2018,مايو,الدمام,حي/337/ 1,51183966,18532.64,20,معتمدة,,
2018,يونيو,الدمام,حي/337/ 1,18100000,7919.74,6,معتمدة,,
2018,يوليو,الدمام,حي/337/ 1,17303836,6569.79,14,معتمدة,,
2018,اوغسطس,الدمام,حي/337/ 1,87272417,18695.68,13,معتمدة,,
2018,سبتمبر,الدمام,حي/337/ 1,95761581,34201.35,15,معتمدة,,
2018,اكتوبر,الدمام,حي/337/ 1,21910350,8861.660000000002,16,معتمدة,,
2018,نوفمبر,الدمام,حي/337/ 1,16718092,7574.49,11,معتمدة,,
2018,ديسمبر,الدمام,حي/337/ 1,106947491,23418.68,30,معتمدة,,
2018,يناير,الدمام,حي/404/ 1,3094240,19339.0,1,معتمدة,,
2018,مايو,الدمام,حي/404/ 1,26232000,52464.0,1,معتمدة,,
2018,يناير,الدمام,حي/413/1,200000,37.5,1,معتمدة,,
2018,نوفمبر,الدمام,حي/499/ 1,1500000,2451.77,1,معتمدة,,
2018,يناير,الدمام,حي/582/ 1,1080000,568.9,1,معتمدة,,
2018,فبراير,الدمام,حي/61/ 1,787500,1575.0,3,معتمدة,,
2018,سبتمبر,الدمام,حي/61/ 1,830000,397.5,1,معتمدة,,
2018,اكتوبر,الدمام,حي/65/1,1150000,500.0,1,معتمدة,,
2018,نوفمبر,الدمام,حي/762/ 1,1800000,690.0,1,معتمدة,,
2018,ديسمبر,الدمام,حي/8/ 92,200000,226.8,1,معتمدة,,
2018,يونيو,الدمام,حي/813/ ش . د,1706390,510.6,1,معتمدة,,
2018,فبراير,الدمام,حي/826/ ش . د,829280,191.97,1,معتمدة,,
2018,مايو,الدمام,حي/826/ ش . د,500000,262.25,1,معتمدة,,
2018,ديسمبر,الدمام,حي/834/ 1,140000,119.52,1,معتمدة,,
2018,يناير,الدمام,حي/841ش.د,750000,570.95,1,معتمدة,,
2018,مايو,الدمام,حي/841ش.د,2518000,1404.05,2,معتمدة,,
2018,يونيو,الدمام,حي/841ش.د,930000,1145.1,1,معتمدة,,
2018,اوغسطس,الدمام,حي/841ش.د,2000000,1129.64,1,معتمدة,,
2018,نوفمبر,الدمام,حي/841ش.د,1750000,792.11,1,معتمدة,,
2018,يناير,الدمام,حي/885 ش.د,200000,1875.0,1,معتمدة,,
