year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,يناير,جده,حي/أبحر الجنوبية,82474372,20949.04,26,معتمدة,,
2018,فبراير,جده,حي/أبحر الجنوبية,42753205,12862.65,13,معتمدة,,
2018,مارس,جده,حي/أبحر الجنوبية,17849786,6404.820000000001,13,معتمدة,,
2018,ابريل,جده,حي/أبحر الجنوبية,27270240,7853.58,17,معتمدة,,
2018,مايو,جده,حي/أبحر الجنوبية,23740563,9818.150000000001,13,معتمدة,,
2018,يونيو,جده,حي/أبحر الجنوبية,17733689,5782.39,7,معتمدة,,
2018,يوليو,جده,حي/أبحر الجنوبية,94059154,20464.629999999997,39,معتمدة,,
2018,اوغسطس,جده,حي/أبحر الجنوبية,12078943,8101.1,7,معتمدة,,
2018,سبتمبر,جده,حي/أبحر الجنوبية,5992500,1977.07,4,معتمدة,,
2018,اكتوبر,جده,حي/أبحر الجنوبية,79879887,9293.06,12,معتمدة,,
2018,نوفمبر,جده,حي/أبحر الجنوبية,26244275,6806.21,13,معتمدة,,
2018,ديسمبر,جده,حي/أبحر الجنوبية,7361540,5777.37,8,معتمدة,,
2018,يناير,جده,حي/أم حبلين,2293663,1292.73,4,معتمدة,,
2018,فبراير,جده,حي/أم حبلين,2016749,1791.7,3,معتمدة,,
2018,مارس,جده,حي/أم حبلين,1568000,595.23,3,معتمدة,,
2018,ابريل,جده,حي/أم حبلين,2201750,774.0,4,معتمدة,,
2018,مايو,جده,حي/أم حبلين,7627000,3417.16,2,معتمدة,,
2018,يونيو,جده,حي/أم حبلين,5000000,21689.66,1,معتمدة,,
2018,اكتوبر,جده,حي/أم حبلين,647362,630.0,1,معتمدة,,
2018,نوفمبر,جده,حي/أم حبلين,450000,626.75,1,معتمدة,,
2018,مارس,جده,حي/ابحر الجنوبية الشرقية,10000000,4975.0,2,معتمدة,,
2018,يناير,جده,حي/ابحر الشمالية,11147527,5332.49,9,معتمدة,,
2018,فبراير,جده,حي/ابحر الشمالية,22632668,8551.75,20,معتمدة,,
2018,مارس,جده,حي/ابحر الشمالية,36316275,21494.07,33,معتمدة,,
2018,ابريل,جده,حي/ابحر الشمالية,17487769,39977.776999999995,18,معتمدة,,
2018,مايو,جده,حي/ابحر الشمالية,16820610,4877.570000000001,10,معتمدة,,
2018,يونيو,جده,حي/ابحر الشمالية,1749939449,3129290.41,9,معتمدة,,
2018,يوليو,جده,حي/ابحر الشمالية,67588913,14155.8,17,معتمدة,,
2018,اوغسطس,جده,حي/ابحر الشمالية,42862876,13460.31,13,معتمدة,,
2018,سبتمبر,جده,حي/ابحر الشمالية,26061323,10218.35,22,معتمدة,,
2018,اكتوبر,جده,حي/ابحر الشمالية,66279108,10676.48,19,معتمدة,,
2018,نوفمبر,جده,حي/ابحر الشمالية,24962975,11918.289999999999,25,معتمدة,,
2018,ديسمبر,جده,حي/ابحر الشمالية,42344350,23093.570000000003,45,معتمدة,,
2018,نوفمبر,جده,حي/ابحر الشمالية _ منطقة ذهبان,4611678,9400.0,1,معتمدة,,
2018,ابريل,جده,حي/الأجواد,4050000,1023.0,2,معتمدة,,
2018,يونيو,جده,حي/الأجواد,1810000,556.5,1,معتمدة,,
2018,يوليو,جده,حي/الأجواد,675000,600.0,1,معتمدة,,
2018,اوغسطس,جده,حي/الأجواد,1181564,600.0,1,معتمدة,,
2018,نوفمبر,جده,حي/الأجواد,436000,525.0,1,معتمدة,,
2018,ديسمبر,جده,حي/الأجواد,1290700,600.0,1,معتمدة,,
2018,يناير,جده,حي/الأمير عبد المجيد,12490691,4052.8659999999986,31,معتمدة,,
2018,فبراير,جده,حي/الأمير عبد المجيد,16750281,8752.99,19,معتمدة,,
2018,مارس,جده,حي/الأمير عبد المجيد,12406094,3388.139999999999,21,معتمدة,,
2018,ابريل,جده,حي/الأمير عبد المجيد,7347950,2460.4900000000002,16,معتمدة,,
2018,مايو,جده,حي/الأمير عبد المجيد,6234545,4930.960000000001,14,معتمدة,,
2018,يونيو,جده,حي/الأمير عبد المجيد,1159412,485.68999999999994,3,معتمدة,,
2018,يوليو,جده,حي/الأمير عبد المجيد,13872668,7402.64,13,معتمدة,,
2018,اوغسطس,جده,حي/الأمير عبد المجيد,4376490,2415.1499999999996,5,معتمدة,,
2018,سبتمبر,جده,حي/الأمير عبد المجيد,6181262,2492.4,8,معتمدة,,
2018,اكتوبر,جده,حي/الأمير عبد المجيد,3142350,1132.5049999999999,6,معتمدة,,
2018,نوفمبر,جده,حي/الأمير عبد المجيد,3770816,1132.6999999999998,7,معتمدة,,
2018,ديسمبر,جده,حي/الأمير عبد المجيد,40154918,11619.979999999998,29,معتمدة,,
2018,مارس,جده,حي/الأمير فواز الشمالى,1200000,690.0,1,معتمدة,,
2018,نوفمبر,جده,حي/الأمير فواز الشمالى,1000000,633.38,1,معتمدة,,
2018,يناير,جده,حي/الاجاويد,8000000,3788.5,7,معتمدة,,
2018,فبراير,جده,حي/الاجاويد,5789472,5187.5,8,معتمدة,,
2018,مارس,جده,حي/الاجاويد,6576497,7564.0,10,معتمدة,,
2018,ابريل,جده,حي/الاجاويد,26385000,12110.37,16,معتمدة,,
2018,مايو,جده,حي/الاجاويد,8437312,6066.5,10,معتمدة,,
2018,يونيو,جده,حي/الاجاويد,3450000,1450.0,3,معتمدة,,
2018,يوليو,جده,حي/الاجاويد,4767737,6112.24,8,معتمدة,,
2018,اوغسطس,جده,حي/الاجاويد,1656043,375.0,1,معتمدة,,
2018,سبتمبر,جده,حي/الاجاويد,10066077,11000.98,10,معتمدة,,
2018,اكتوبر,جده,حي/الاجاويد,3244788,4562.5,8,معتمدة,,
2018,نوفمبر,جده,حي/الاجاويد,13297672,5332.0599999999995,8,معتمدة,,
2018,ديسمبر,جده,حي/الاجاويد,12834002,7841.82,12,معتمدة,,
2018,يناير,جده,حي/الاجواد,752500,916.9300000000001,4,معتمدة,,
2018,فبراير,جده,حي/الاجواد,890000,292.25,3,معتمدة,,
2018,مارس,جده,حي/الاجواد,4980000,2752.58,11,معتمدة,,
2018,ابريل,جده,حي/الاجواد,9270000,5077.22,15,معتمدة,,
2018,مايو,جده,حي/الاجواد,6056400,2943.75,11,معتمدة,,
2018,يوليو,جده,حي/الاجواد,4490900,3065.97,9,معتمدة,,
2018,اوغسطس,جده,حي/الاجواد,2779444,1917.2800000000002,6,معتمدة,,
2018,سبتمبر,جده,حي/الاجواد,7390512,4097.03,12,معتمدة,,
2018,اكتوبر,جده,حي/الاجواد,5256669,2989.6299999999997,13,معتمدة,,
2018,نوفمبر,جده,حي/الاجواد,5572678,2501.91,9,معتمدة,,
2018,ديسمبر,جده,حي/الاجواد,8174619,3519.98,9,معتمدة,,
2018,يناير,جده,حي/الاصالة,23432770,126380.0,4,معتمدة,,
2018,مارس,جده,حي/الاصالة,3210000,2100.0,4,معتمدة,,
2018,ابريل,جده,حي/الاصالة,1000000,600.0,1,معتمدة,,
2018,مايو,جده,حي/الاصالة,3800000,2196.65,4,معتمدة,,
2018,يونيو,جده,حي/الاصالة,990000,1200.0,2,معتمدة,,
2018,اوغسطس,جده,حي/الاصالة,2048651,1993.44,3,معتمدة,,
2018,سبتمبر,جده,حي/الاصالة,2000000,1200.0,3,معتمدة,,
2018,اكتوبر,جده,حي/الاصالة,1350000,600.0,1,معتمدة,,
2018,نوفمبر,جده,حي/الاصالة,2570000,1394.0,3,معتمدة,,
2018,ديسمبر,جده,حي/الاصالة,4200000,2700.0,5,معتمدة,,
2018,ابريل,جده,حي/الامراء رقم سته,530000,218.45,1,معتمدة,,
2018,يناير,جده,حي/الامواج,11550000,4220.5,8,معتمدة,,
2018,فبراير,جده,حي/الامواج,26445000,22586.5,9,معتمدة,,
2018,مارس,جده,حي/الامواج,13752015,7695.5,6,معتمدة,,
2018,ابريل,جده,حي/الامواج,10862500,8812.5,9,معتمدة,,
2018,مايو,جده,حي/الامواج,18210616,15968.25,8,معتمدة,,
2018,يونيو,جده,حي/الامواج,2350000,1250.0,2,معتمدة,,
2018,يوليو,جده,حي/الامواج,20903507,17190.25,9,معتمدة,,
2018,اوغسطس,جده,حي/الامواج,13275846,13249.76,5,معتمدة,,
2018,سبتمبر,جده,حي/الامواج,1103300,975.0,2,معتمدة,,
2018,اكتوبر,جده,حي/الامواج,7915000,4862.9799,13,معتمدة,,
2018,نوفمبر,جده,حي/الامواج,9380000,7766.25,12,معتمدة,,
2018,ديسمبر,جده,حي/الامواج,9250000,7345.0,11,معتمدة,,
2018,يناير,جده,حي/الامير فواز الجنوبى,6900678,2355.1800000000003,3,معتمدة,,
2018,مارس,جده,حي/الامير فواز الجنوبى,2880200,992.76,3,معتمدة,,
2018,مايو,جده,حي/الامير فواز الجنوبى,22076630,4118.78,6,معتمدة,,
2018,يوليو,جده,حي/الامير فواز الجنوبى,480000,129.96,1,معتمدة,,
2018,اوغسطس,جده,حي/الامير فواز الجنوبى,1805000,842.62,2,معتمدة,,
2018,سبتمبر,جده,حي/الامير فواز الجنوبى,3302000,2845.79,4,معتمدة,,
2018,اكتوبر,جده,حي/الامير فواز الجنوبى,4400000,1947.0500000000002,3,معتمدة,,
2018,نوفمبر,جده,حي/الامير فواز الجنوبى,877500,600.0,1,معتمدة,,
