year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,نوفمبر,مكة المكرمة,حي/1/ 20/ 27,550000,550.0,1,معتمدة,,
2018,فبراير,مكة المكرمة,حي/45 بطحاء قريش النموذجى,700000,161.82,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/45 بطحاء قريش النموذجى,300000,135.33,1,معتمدة,,
2018,ابريل,مكة المكرمة,حي/45 بطحاء قريش النموذجى,1380000,394.3,2,معتمدة,,
2018,فبراير,مكة المكرمة,حي/أبو مراغ,550000,394.0,1,معتمدة,,
2018,مايو,مكة المكرمة,حي/أبو مراغ,310000,169.2,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/أبو مراغ,1200000,439.47,1,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/أبو مراغ,90000,460.0,1,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/أبو مراغ,375000,400.0,1,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/أبو مراغ,600000,400.0,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/أبو مراغ رقم 3,1500000,1022.04,2,معتمدة,,
2018,يناير,مكة المكرمة,حي/أخرى,18445452,29062.009199999997,21,معتمدة,,
2018,فبراير,مكة المكرمة,حي/أخرى,102550181,54061.390000000014,27,معتمدة,,
2018,مارس,مكة المكرمة,حي/أخرى,45109451,14681.921999999999,26,معتمدة,,
2018,ابريل,مكة المكرمة,حي/أخرى,37892548,170317.52819999997,25,معتمدة,,
2018,مايو,مكة المكرمة,حي/أخرى,62974022,14239.777100000001,29,معتمدة,,
2018,يونيو,مكة المكرمة,حي/أخرى,71321013,2095.8199999999997,8,معتمدة,,
2018,يوليو,مكة المكرمة,حي/أخرى,8007353,14533.130000000001,15,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/أخرى,270225428,6466.2434,10,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/أخرى,5182040,6968.879999999999,10,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/أخرى,8145807,14753.058200000001,29,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/أخرى,67927949,21010.303999999996,37,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/أخرى,26722000,20199.3627,43,معتمدة,,
2018,فبراير,مكة المكرمة,حي/أم الجود,100000,750.0,1,معتمدة,,
2018,يونيو,مكة المكرمة,حي/أم الجود,1500000,512.0,1,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/أم الجود,1200000,375.0,1,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/أم الجود,487000,417.34,1,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/أم الجود,893571,417.34,1,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/أم الجود,90000,512.0,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/أم الجود مخطط الحمراء,2499994,8475.259999999998,7,معتمدة,,
2018,مايو,مكة المكرمة,حي/أم الراكه بأرض وادى ضيم,200000,1000.853,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/أم الراكه بأرض وادى ضيم,65000,717.0,1,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/أم الراكه بأرض وادى ضيم,200000,2003.4,2,معتمدة,,
2018,ابريل,مكة المكرمة,حي/ابو مراغ,610000,592.07,1,معتمدة,,
