year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,يناير,المدينة المنورة,,681318479,1634477.7896999998,656,معتمدة,,
2018,يناير,المدينة المنورة,,520380258,486863.40659999993,504,معتمدة,سكني,
2018,يناير,المدينة المنورة,,436290049,330957.49059999996,397,معتمدة,سكني,قطعة أرض
2018,يناير,المدينة المنورة,,0,0.0,0,معتمدة,سكني,عمارة
2018,يناير,المدينة المنورة,,5100000,1374.6599999999999,5,معتمدة,سكني,فيلا
2018,يناير,المدينة المنورة,,44395045,16008.900000000001,74,معتمدة,سكني,شقة
2018,يناير,المدينة المنورة,,0,0.0,0,معتمدة,سكني,مركز تجاري
2018,يناير,المدينة المنورة,,32696164,4873.7300000000005,21,معتمدة,سكني,بيت
2018,يناير,المدينة المنورة,,1187000,648.51,2,معتمدة,سكني,مرفق
2018,يناير,المدينة المنورة,,712000,133000.11599999998,5,معتمدة,سكني,أرض زراعية
2018,يناير,المدينة المنورة,,136419023,132963.95660000003,116,معتمدة,تجاري,
2018,يناير,المدينة المنورة,,133519023,131942.61660000004,113,معتمدة,تجاري,قطعة أرض
2018,يناير,المدينة المنورة,,1350000,400.0,1,معتمدة,تجاري,فيلا
2018,يناير,المدينة المنورة,,1550000,621.34,2,معتمدة,تجاري,شقة
2018,يناير,المدينة المنورة,,0,0.0,0,معتمدة,تجاري,مركز تجاري
2018,يناير,المدينة المنورة,,0,0.0,0,معتمدة,تجاري,بيت
2018,يناير,المدينة المنورة,,24519198,1014650.4265000001,36,معتمدة,زراعي,
2018,يناير,المدينة المنورة,,280000,26637.83,1,معتمدة,زراعي,قطعة أرض
2018,يناير,المدينة المنورة,,24239198,988012.5965000001,35,معتمدة,زراعي,أرض زراعية
2018,فبراير,المدينة المنورة,,1081288931,1186539.1775,863,معتمدة,,
2018,فبراير,المدينة المنورة,,529578051,584765.5978000001,735,معتمدة,سكني,
2018,فبراير,المدينة المنورة,,457953680,558142.4744000001,630,معتمدة,سكني,قطعة أرض
2018,فبراير,المدينة المنورة,,0,0.0,0,معتمدة,سكني,عمارة
2018,فبراير,المدينة المنورة,,3295000,864.53,3,معتمدة,سكني,فيلا
2018,فبراير,المدينة المنورة,,35031759,15142.900000000003,74,معتمدة,سكني,شقة
2018,فبراير,المدينة المنورة,,31537612,6049.093400000001,24,معتمدة,سكني,بيت
2018,فبراير,المدينة المنورة,,0,0.0,0,معتمدة,سكني,مرفق
2018,فبراير,المدينة المنورة,,1620000,1050.0,1,معتمدة,سكني,إستراحة
2018,فبراير,المدينة المنورة,,140000,3516.6,3,معتمدة,سكني,أرض زراعية
2018,فبراير,المدينة المنورة,,540950380,95440.61640000001,83,معتمدة,تجاري,
2018,فبراير,المدينة المنورة,,540950380,95440.61640000001,83,معتمدة,تجاري,قطعة أرض
2018,فبراير,المدينة المنورة,,0,0.0,0,معتمدة,تجاري,فيلا
2018,فبراير,المدينة المنورة,,0,0.0,0,معتمدة,تجاري,معرض/محل
2018,فبراير,المدينة المنورة,,0,0.0,0,معتمدة,تجاري,مركز تجاري
2018,فبراير,المدينة المنورة,,0,0.0,0,معتمدة,تجاري,بيت
2018,فبراير,المدينة المنورة,,10760500,506332.9633,45,معتمدة,زراعي,
2018,فبراير,المدينة المنورة,,400000,1200.0,1,معتمدة,زراعي,قطعة أرض
2018,فبراير,المدينة المنورة,,10360500,505132.9633,44,معتمدة,زراعي,أرض زراعية
2018,مارس,المدينة المنورة,,578158520,771214.5077,643,معتمدة,,
2018,مارس,المدينة المنورة,,401981612,325028.23000000004,563,معتمدة,سكني,
2018,مارس,المدينة المنورة,,347828110,307101.4600000001,483,معتمدة,سكني,قطعة أرض
2018,مارس,المدينة المنورة,,0,0.0,0,معتمدة,سكني,عمارة
2018,مارس,المدينة المنورة,,6278000,1736.6000000000001,6,معتمدة,سكني,فيلا
2018,مارس,المدينة المنورة,,27979291,10966.319999999998,58,معتمدة,سكني,شقة
2018,مارس,المدينة المنورة,,18596211,3759.36,14,معتمدة,سكني,بيت
2018,مارس,المدينة المنورة,,1300000,1464.49,2,معتمدة,سكني,مرفق
2018,مارس,المدينة المنورة,,0,0.0,0,معتمدة,سكني,إستراحة
2018,مارس,المدينة المنورة,,0,0.0,0,معتمدة,سكني,أرض زراعية
2018,مارس,المدينة المنورة,,162992983,48131.99000000001,57,معتمدة,تجاري,
2018,مارس,المدينة المنورة,,162992983,48131.99000000001,57,معتمدة,تجاري,قطعة أرض
2018,مارس,المدينة المنورة,,0,0.0,0,معتمدة,تجاري,شقة
2018,مارس,المدينة المنورة,,0,0.0,0,معتمدة,تجاري,بيت
