year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,اكتوبر,الرياض,حي/3020/ و,0,0.0,0,معتمدة,,
2018,اكتوبر,الرياض,حي/57 من المخطط رقم 2584 الواقع فى حى ديراب,0,0.0,0,معتمدة,,
2018,ديسمبر,الرياض,حي/57 من المخطط رقم 2584 الواقع فى حى ديراب,0,0.0,0,معتمدة,,
2018,يناير,الرياض,حي/أحد,7962000,5480.0,11,معتمدة,,
2018,فبراير,الرياض,حي/أحد,7545000,8826.25,19,معتمدة,,
2018,مارس,الرياض,حي/أحد,10066052,9446.25,16,معتمدة,,
2018,ابريل,الرياض,حي/أحد,9530758,8247.75,17,معتمدة,,
2018,مايو,الرياض,حي/أحد,9199125,8935.0,19,معتمدة,,
2018,يونيو,الرياض,حي/أحد,2670118,2512.5,5,معتمدة,,
2018,يوليو,الرياض,حي/أحد,6129000,8234.25,14,معتمدة,,
2018,اوغسطس,الرياض,حي/أحد,3820964,6293.0,9,معتمدة,,
2018,سبتمبر,الرياض,حي/أحد,2771000,3322.5,7,معتمدة,,
2018,اكتوبر,الرياض,حي/أحد,12625000,9653.119999999999,20,معتمدة,,
2018,نوفمبر,الرياض,حي/أحد,15021349,15149.0,27,معتمدة,,
2018,ديسمبر,الرياض,حي/أحد,17933373,20939.85,39,معتمدة,,
2018,يناير,الرياض,حي/أخرى,0,0.0,0,معتمدة,,
2018,فبراير,الرياض,حي/أخرى,1400000,933.29,2,معتمدة,,
2018,مارس,الرياض,حي/أخرى,388700,598.0,1,معتمدة,,
2018,ابريل,الرياض,حي/أخرى,0,0.0,0,معتمدة,,
2018,مايو,الرياض,حي/أخرى,3678000,3011.0,5,معتمدة,,
2018,يونيو,الرياض,حي/أخرى,0,0.0,0,معتمدة,,
2018,يوليو,الرياض,حي/أخرى,0,0.0,0,معتمدة,,
2018,اوغسطس,الرياض,حي/أخرى,168750,337.5,1,معتمدة,,
2018,سبتمبر,الرياض,حي/أخرى,1696000,1306.0,3,معتمدة,,
2018,اكتوبر,الرياض,حي/أخرى,25000,122.09,1,معتمدة,,
2018,نوفمبر,الرياض,حي/أخرى,1704000,1306.0,3,معتمدة,,
2018,ديسمبر,الرياض,حي/أخرى,4738140,1800.0,5,معتمدة,,
2018,اكتوبر,الرياض,حي/أم سليم,0,0.0,0,معتمدة,,
2018,نوفمبر,الرياض,حي/أم سليم,0,0.0,0,معتمدة,,
2018,يناير,الرياض,حي/ابو طليحة,0,0.0,0,معتمدة,,
2018,فبراير,الرياض,حي/ابو طليحة,450000,183.12,1,معتمدة,,
2018,يونيو,الرياض,حي/ابو طليحة,0,0.0,0,معتمدة,,
2018,يوليو,الرياض,حي/ابو طليحة,0,0.0,0,معتمدة,,
2018,نوفمبر,الرياض,حي/ابو طليحة,550000,203.29,1,معتمدة,,
2018,يناير,الرياض,حي/ارضة الجو منطقة العزيزية,229000,588.0,1,معتمدة,,
2018,فبراير,الرياض,حي/ارضة الجو منطقة العزيزية,0,0.0,0,معتمدة,,
2018,مارس,الرياض,حي/ارضة الجو منطقة العزيزية,0,0.0,0,معتمدة,,
2018,ابريل,الرياض,حي/ارضة الجو منطقة العزيزية,0,0.0,0,معتمدة,,
2018,مايو,الرياض,حي/ارضة الجو منطقة العزيزية,486000,540.0,1,معتمدة,,
2018,يونيو,الرياض,حي/ارضة الجو منطقة العزيزية,1042200,1080.0,2,معتمدة,,
2018,يوليو,الرياض,حي/ارضة الجو منطقة العزيزية,0,0.0,0,معتمدة,,
2018,نوفمبر,الرياض,حي/ارضة الجو منطقة العزيزية,0,0.0,0,معتمدة,,
2018,ديسمبر,الرياض,حي/ارضة الجو منطقة العزيزية,0,0.0,0,معتمدة,,
2018,يناير,الرياض,حي/اسكان الجزيره,0,0.0,0,معتمدة,,
2018,فبراير,الرياض,حي/اسكان الجزيره,350000,484.0,1,معتمدة,,
2018,مارس,الرياض,حي/اسكان الجزيره,0,0.0,0,معتمدة,,
2018,ابريل,الرياض,حي/اسكان الجزيره,980000,1452.0,3,معتمدة,,
2018,مايو,الرياض,حي/اسكان الجزيره,300000,484.0,1,معتمدة,,
2018,يونيو,الرياض,حي/اسكان الجزيره,0,0.0,0,معتمدة,,
2018,يوليو,الرياض,حي/اسكان الجزيره,300000,484.0,1,معتمدة,,
2018,اوغسطس,الرياض,حي/اسكان الجزيره,0,0.0,0,معتمدة,,
2018,سبتمبر,الرياض,حي/اسكان الجزيره,1550000,2420.0,5,معتمدة,,
2018,اكتوبر,الرياض,حي/اسكان الجزيره,2500000,3872.0,8,معتمدة,,
2018,نوفمبر,الرياض,حي/اسكان الجزيره,3130000,3872.0,8,معتمدة,,
2018,ديسمبر,الرياض,حي/اسكان الجزيره,2950000,3388.0,7,معتمدة,,
2018,يناير,الرياض,حي/اشبيليا,29827221,12452.374999999998,29,معتمدة,,
2018,فبراير,الرياض,حي/اشبيليا,27927337,9744.800000000001,24,معتمدة,,
2018,مارس,الرياض,حي/اشبيليا,45658826,19034.95,44,معتمدة,,
2018,ابريل,الرياض,حي/اشبيليا,66418281,17336.0,28,معتمدة,,
2018,مايو,الرياض,حي/اشبيليا,62972538,26452.16,42,معتمدة,,
2018,يونيو,الرياض,حي/اشبيليا,8683663,3154.69,11,معتمدة,,
2018,يوليو,الرياض,حي/اشبيليا,30235342,13350.4,28,معتمدة,,
2018,اوغسطس,الرياض,حي/اشبيليا,32283950,11831.13,21,معتمدة,,
2018,سبتمبر,الرياض,حي/اشبيليا,24312952,11529.119999999999,23,معتمدة,,
2018,اكتوبر,الرياض,حي/اشبيليا,72984921,63576.57,33,معتمدة,,
2018,نوفمبر,الرياض,حي/اشبيليا,72029761,18560.555,35,معتمدة,,
2018,ديسمبر,الرياض,حي/اشبيليا,45678101,13855.695000000002,29,معتمدة,,
2018,يناير,الرياض,حي/الازدهار,7167937,1581.0,4,معتمدة,,
2018,فبراير,الرياض,حي/الازدهار,4105000,1825.0,3,معتمدة,,
2018,مارس,الرياض,حي/الازدهار,20147930,6771.83,8,معتمدة,,
2018,ابريل,الرياض,حي/الازدهار,20299158,18198.34,6,معتمدة,,
2018,مايو,الرياض,حي/الازدهار,14140423,5430.32,12,معتمدة,,
2018,يونيو,الرياض,حي/الازدهار,1900000,618.31,2,معتمدة,,
2018,يوليو,الرياض,حي/الازدهار,3876736,1309.6023,4,معتمدة,,
2018,اوغسطس,الرياض,حي/الازدهار,9831290,2616.1,6,معتمدة,,
2018,سبتمبر,الرياض,حي/الازدهار,3433257,1624.0,5,معتمدة,,
2018,اكتوبر,الرياض,حي/الازدهار,85888250,25577.0,7,معتمدة,,
2018,نوفمبر,الرياض,حي/الازدهار,5931091,2683.0,5,معتمدة,,
2018,ديسمبر,الرياض,حي/الازدهار,33428500,4453.5599999999995,10,معتمدة,,
2018,يناير,الرياض,حي/الامانة,2363322,1708.0,4,معتمدة,,
2018,فبراير,الرياض,حي/الامانة,3533850,3576.0,6,معتمدة,,
2018,مارس,الرياض,حي/الامانة,2470000,2733.0,4,معتمدة,,
2018,ابريل,الرياض,حي/الامانة,6168017,6640.0,9,معتمدة,,
2018,مايو,الرياض,حي/الامانة,6144280,9244.0,7,معتمدة,,
2018,يونيو,الرياض,حي/الامانة,631250,629.72,2,معتمدة,,
2018,يوليو,الرياض,حي/الامانة,3185000,3990.0,4,معتمدة,,
2018,اوغسطس,الرياض,حي/الامانة,1346300,1081.23,2,معتمدة,,
2018,سبتمبر,الرياض,حي/الامانة,4620438,3246.0,6,معتمدة,,
2018,اكتوبر,الرياض,حي/الامانة,5718021,4794.37,8,معتمدة,,
2018,نوفمبر,الرياض,حي/الامانة,8487020,7837.5,11,معتمدة,,
2018,ديسمبر,الرياض,حي/الامانة,13148350,9940.0,14,معتمدة,,
2018,مايو,الرياض,حي/الامير مشعل,525107,550.0,1,معتمدة,,
2018,يناير,الرياض,حي/الاندلس,3822555,1704.96,5,معتمدة,,
2018,فبراير,الرياض,حي/الاندلس,5908336,2517.5,5,معتمدة,,
